o-Deklination N;o-Deklination M;a-Deklination M;a-Deklination M EIR;a-Deklination F EIR;a-Deklination η;a-Deklination α;konsonantische Deklination M;konsonantische Deklination F;Guttutral: γ, κ, χ   z.B. φύλαξ (Wächter) –> Stamm: φύλακ-;Stamm auf -ντ- , -ς- , -υ-;Stamm auf -ι-
ον;ος;ης;;;η;α;;;;;
ου;ου;ου;;;ης;ας;;;Labial: β, π, φ   z.B. γύψ (Geier) –> Stamm: γύπ-;;
ῳ;ῳ;ῃ;;;ῃ;ᾳ;;;;;
ον;ον;ην;;;ην;αν;;;Dental: δ, τ, θ   z.B. παῖς (Kind) –> Stamm: παιδ-;;
α;οι;αι;;;αι;αι;;;;;
ων;ων;ῶν;;;ῶν;ῶν;;;Liquida: λ, ρ   z.B. ῥῆτωρ (Redner) –> Stamm: ῥήτορ-;;
οις;οις;αις;;;αις;αις;;;;;
α;ους;ας;;;ας;ας;;;Nasal: ν  z.B. ἀγών (Wettkampf) –> Stamm: ἀγων-;;
;;;;;;;;;;;
o-Deklination kombiniert;;;;;a-Deklination kombiniert;;;;;;
ος;;;;;α;;;;;;
ου;;;;;ας;;;;;;
ῳ;;;;;ᾳ;;;;;;
ον;;;;;αν;;;;;;
οι;;;;;η;;;;;;
ων;;;;;ης;;;;;;
οις;;;;;ῃ;;;;;;
ους;;;;;ην;;;;;;
α;;;;;αι;;;;;;
;;;;;ῶν;;;;;;
;;;;;αις;;;;;;
;;;;;ας;;;;;;
